"MATERIAL","INSTALLED","NOM_DIA_MM","LENGTH","condition_overall_score_label","condition_CCTV_score","condition_CCTV_date","condition_CCTV_source","condition_CCTV_app_availability","condition_instability_score","condition_corrosivity_score","condition_age_score","SHAPE_Length"
"CLS",1964,910,617.38,"5","None","None","None","no",5,3,5,617.380389421171
"CLS",1973,910,156.35,"4","None","None","None","no",3,3,5,156.350391898213
"PE",2013,1000,573.22,"1","None","None","None","no",1,1,1,573.222031902372
"CONC",1962,860,285.35,"2","None","None","None","no",1,1,3,285.345121029752
"CONC",2013,1050,35.29,"1","None","None","None","no",1,3,1,35.2860865522954
"CONC",2014,1050,171.9,"2","None","None","None","no",5,3,1,171.899624267531
"CONC",2014,1050,159.45,"1","None","None","None","no",1,3,1,159.452195842532
"CONC",1946,675,276.82,"2","2","2016","CCTV Footage Review Log South_Latest.xls","no",1,1,3,276.818269439365
"CONC",1970,600,105.84,"2","2","2007","te puna wai","no",5,1,2,105.839080936145
"PE",2005,630,45.02,"1","1","2015","CCTV Footage Review Log South_Latest.xls","no",1,3,1,45.0157832990969
"CONC",1961,1220,167.98,"2","2","2016","te puna wai","yes",1,1,3,167.976164966797
"CONC",1967,1220,86.55,"2","2","2016","te puna wai","yes",1,1,1,86.5513908148023
"CONC",2003,1200,75.49,"2","None","None","None","no",5,3,1,75.4922212371479
"CONC",1946,675,138.43,"3","3","2011","te puna wai","no",1,1,3,138.426929542205
"CONC",1946,675,253.59,"3","3","2011","te puna wai","no",1,1,3,253.594354616925
"CONC",2020,1100,216.23,"2","None","None","None","no",3,3,1,216.233559720475
"PE",2010,900,40.88,"1","None","None","None","no",3,1,1,40.8822589069714
"CONC",1964,900,94.78,"2","2","2019","CCTV Footage Review Log South_Latest.xls","no",1,1,2,94.7835585142444
"CONC",1973,1600,86.05,"2","None","None","None","no",3,3,2,86.054025574749
"PE",2019,900,228,"2","None","None","None","no",5,1,1,228.111233699323
"PE",2019,900,89.91,"2","None","None","None","no",5,1,1,89.9145086903254
"PE",2019,900,86.89,"2","None","None","None","no",5,1,1,86.8954646579559
"PE",2019,800,71.46,"2","None","None","None","no",5,3,1,71.4586449496065
"PE",2019,800,49.81,"2","None","None","None","no",5,3,1,49.8084297029594
"PE",2019,800,25.84,"2","None","None","None","no",5,3,1,25.8425087398783
"BRICK",1911,1050,7.98,"4","4","2013","CCTV Footage Review Log South_Latest.xls","no",5,3,4,7.97638673323112
"CONC",2016,1050,51.47,"1","None","None","None","no",1,1,1,51.4684332686801
"PE",2019,900,51.11,"1","None","None","None","no",1,1,1,51.1062532231043
"CONC",1964,1194,39.2,"3","3","2016","te puna wai","no",1,3,2,39.1984819658305
"CONC",1961,1350,193.42,"3","3","2016","te puna wai","yes",1,1,3,193.417082956449
"CONC",1961,1350,59.99,"4","4","2016","te puna wai","yes",1,1,3,59.9936513899277
"CONC",1961,1350,120.14,"4","4","2016","te puna wai","yes",1,3,3,120.141441134591
